test;Kp;Ki;t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;90.88;90
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;90.88;90
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;90.88;90
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;82.31;82
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;82.07;82
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;81.83;81
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;81.60;81
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;81.36;81
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;81.12;81
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;80.88;80
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;80.64;80
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;80.41;80
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;80.17;80
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;79.93;79
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;79.69;79
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;79.45;79
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;79.22;79
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;78.98;78
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;78.74;78
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;78.50;78
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;78.26;78
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;78.03;78
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;77.79;77
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;77.55;77
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;77.31;77
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;77.07;77
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;76.84;76
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;76.60;76
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;76.36;76
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;76.12;76
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;75.89;75
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;75.65;75
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;75.41;75
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;75.17;75
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;74.93;74
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;74.70;74
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;74.46;74
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;74.22;74
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;73.98;73
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;73.74;73
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;73.51;73
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;73.27;73
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;73.03;73
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;72.79;72
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;72.55;72
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;72.32;72
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;72.08;72
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;71.84;71
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;71.60;71
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;71.36;71
1;25.00;0.20;36;35;35;35.33;19;22;19;20.00;71.13;71
1;25.00;0.20;35;35;35;35.00;19;22;19;20.00;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;19;20.00;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;19;20.00;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;19;20.00;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;19;20.00;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;19;20.00;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
1;25.00;0.20;35;35;35;35.00;19;22;20;20.33;79.46;79
